Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,AQI,heat_stroke,hypothermia,migraine,allergies,dehydration,skin_disease,sunburn_risk,respiratory_infection,joint_pain,stroke_risk,vertigo_risk,asthma,low_bp,cardiac_arrest,back_pain,paralysis_risk,pressure_problem,cluster,safe_or_unsafe,safe_or_unsafe_binary
25,10th week,Kerala,Trivandrum,Dengue,9,,22,2,2022,8.4882267,76.947551,0.09370353234,46.0,301.496,207,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
26,10th week,Tamil Nadu,Ariyalur,Dengue,6,,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,87,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
27,10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15,,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,179,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
28,10th week,Tamil Nadu,Virudhunagar,Dengue,17,,16,2,2022,9.5208936,77.8784564,0.3079754379,7.0,306.0,241,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
29,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25,,17,3,2022,14.7874825,75.3996731,0.00127512791,20.0,307.064,237,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
30,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36,,18,3,2022,14.7874825,75.3996731,0.001077243378,20.0,307.02,70,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
31,11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16,,11,3,2022,9.98408,76.2741457,0.04311431044,38.0,303.712,210,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
32,11th week,Maharashtra,Akola,Chikungunya,9,,12,3,2022,20.76181225,77.19211567,0.01140150866,5.0,311.4666666,253,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
33,11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41,,22,3,2022,18.7232023,82.60811828,0.0004851654548,,307.552,107,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
34,12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,,27,3,2022,20.952407,72.9323831,8.8e-05,4.0,309.62,71,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
35,12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19,,23,3,2022,22.75,72.833333,8.42e-05,6.0,311.62333340000004,285,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
36,12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29,,23,3,2022,12.8827367,75.0309089,0.1548463487,23.0,303.66,138,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
37,12th week,Maharashtra,Raigad,Dengue,11,,21,3,2022,18.4928092,73.13807095,0.0001800343472,,312.184,98,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14,,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,268,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
39,12th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,35,,26,3,2022,22.5760669,88.42006758,0.01326398044,13.0,304.952,108,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
40,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,21,3,2022,9.98408,76.2741457,0.2802161895,,302.56,219,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
41,13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7,,30,3,2022,10.5256264,76.2132542,0.6296586828,,302.385,269,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
42,13th week,Kerala,thiruvananthapuram,Dengue,8,,16,3,2022,8.4882267,76.947551,0.07619242379,38.0,305.112,237,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,unsafe,0
43,13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21,,29,3,2022,14.4661266,75.9206361,0.0152337369,,307.625,257,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
44,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9,,4,3,2022,18.7232023,82.60811828,5.11e-05,11.0,306.932,64,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
45,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83,,5,3,2022,19.4129711,85.04710406,,,304.2933334,239,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
46,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69,,3,4,2022,19.4129711,85.04710406,,11.0,303.648,239,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
47,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8,,28,3,2022,18.7232023,82.60811828,0.0006149952725,11.0,308.19333340000003,224,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
48,13th week,Tamil Nadu,Pudukkottai,Dengue,15,,30,3,2022,10.5,78.833333,0.06721439309,,306.37,239,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
49,14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12,,2,4,2022,12.9324457,74.9813132,0.1516883933,19.0,303.228,100,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
50,14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95,,8,4,2022,17.360589,78.4740613,0.0008799355934,6.0,312.86400000000003,157,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
51,14th week,West Bengal,Hooghly,Cholera,50,,6,4,2022,22.9052114,88.3760639,0.01606103471,,301.768,104,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
52,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32,,11,4,2022,19.4129711,85.04710406,,12.0,303.004,293,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
53,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39,,8,4,2022,19.4129711,85.04710406,,12.0,302.56,113,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
54,15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14,,17,4,2022,11.7406259,78.9637131,0.3512801639,10.0,312.57,298,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,unsafe,0
55,15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105,,12,4,2022,22.3599134,87.41331448,0.001576650271,17.0,303.61,180,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
56,15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132,,17,4,2022,22.642931,88.8930579,0.1245795666,16.0,302.7066666,278,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
57,15th week,Kerala,Palakkad,Dengue,18,,26,3,2022,10.78789845,76.47408711,0.2079999161,23.0,305.46,100,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
58,16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6,,23,4,2022,29.3912753,76.9771675,0.007797900735,,309.8166666,184,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
59,16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61,,24,4,2022,8.8879509,76.5955013,0.3409555758,13.0,302.42,70,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
60,16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6,,19,4,2022,8.4882267,76.947551,0.7656736237,40.0,302.245,122,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
61,16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11,,18,4,2022,20.13069385,84.07904761,0.01136203033,10.0,310.692,216,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
62,16th week,Odisha,Ganjam,Cholera,23,,21,4,2022,19.4129711,85.04710406,,11.0,304.55333340000004,67,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
63,16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71,,19,4,2022,22.5760669,88.42006758,0.001930660318,10.0,304.93333340000004,181,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
64,16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91,,18,4,2022,23.41146995,87.84499445,0.1065287191,11.0,306.0133334,138,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
65,16th week,West Bengal,Howrah,Cholera,53,,17,4,2022,22.5736296,88.3251045,0.002075951935,10.0,305.268,109,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
66,17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,24,4,2022,13.0070817,76.0992703,0.09880602699,10.0,303.87,63,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
67,17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63,,29,4,2022,8.8879509,76.5955013,0.3002021842,13.0,301.72,291,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
68,17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29,,26,4,2022,19.4129711,85.04710406,,11.0,306.316,299,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17,,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,58,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
70,17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40,,25,4,2022,22.9052114,88.3760639,0.04226417578,12.0,302.65000000000003,139,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
71,17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21,,2,1,2022,20.952407,72.9323831,0.00499654567,5.0,298.955,102,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
72,17th week,Kerala,Ernakulam,Dengue,16,,28,3,2022,9.98408,76.2741457,0.2976702684,30.0,303.396,179,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
73,18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30,,28,4,2022,16.21399145,81.02572814,0.001602218663,7.0,308.756,133,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
74,18th week,Gujarat,Sabarkantha,Dengue,4,3.0,26,4,2022,24.0294885,73.0459884,0.0004518239242,7.0,318.4766666,141,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
75,18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10,,4,5,2022,8.4882267,76.947551,0.2774664184,45.0,301.6866666,160,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
76,18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254,,7,5,2022,24.2651306,75.38718194,0.0113970782,3.0,317.3666666,237,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
77,18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113,,25,4,2022,30.7041168,76.7176885,0.00900936075,6.0,309.4233334,248,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
78,18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,7,5,2022,12.7948109,79.0006411,0.1129625705,10.0,306.572,221,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
79,18th week,Jharkhand,East Singhbhum,Malaria,37,1.0,21,4,2022,22.8092139,86.2091549,0.04142995706,7.0,311.8366666,57,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
80,18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11,,25,4,2022,31.38524095,75.30552274,0.01893975441,5.0,310.79200000000003,224,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
81,18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,26,4,2022,13.0070817,76.0992703,0.004949535238,10.0,303.745,84,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
82,18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85,,7,5,2022,13.9326093,75.574978,0.01528495932,16.0,302.1966666,255,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
83,19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33,,13,5,2022,20.52684285,82.187831,0.1969795804,11.0,307.805,130,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
84,19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57,,7,5,2022,21.9671264,82.66472425,0.003964035342,9.0,311.408,213,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
85,19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47,,15,5,2022,20.952407,72.9323831,8.75e-05,3.0,307.56333340000003,99,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
86,19th week,Karnataka,Kalaburagi,Cholera,144,,7,5,2022,17.166667,77.083333,0.006687553635,3.0,318.132,153,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
87,19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13,,13,5,2022,13.3400771,77.1006208,0.44945788,9.0,303.58,181,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
88,19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65,,9,5,2022,9.98408,76.2741457,0.5794966868,,300.8066666,51,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
89,19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100,,8,5,2022,11.2450558,75.7754716,0.595196898,,,183,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,safe,1
90,19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15,,13,5,2022,26.166667,77.5,0.0002114471021,3.0,316.4866666,103,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
91,19th week,Maharashtra,Jalgaon,Dengue,9,1.0,6,5,2022,20.84288265,75.52612464,0.0001810070481,4.0,319.8166666,155,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
92,19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22,,10,5,2022,19.4129711,85.04710406,,11.0,302.8666666,53,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
93,19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18,,11,5,2022,30.7041168,76.7176885,0.03361474363,7.0,307.8933334,103,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
94,19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27,,12,5,2022,28.0159286,73.3171367,8.15e-05,2.0,321.53000000000003,270,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
95,19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,6,5,2022,12.7948109,79.0006411,0.1081991632,10.0,308.48400000000004,240,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,unsafe,0
96,19th week,West Bengal,Jalpaiguri,Dengue,272,,8,5,2022,26.4733048,88.67886686,0.2161416423,,304.6,195,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
97,19th week,Maharashtra,Sindhudurg,Malaria (PV),5,,4,5,2022,16.1357193,73.6522086,0.01160296462,19.0,305.68333340000004,267,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
98,19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20,,9,5,2022,13.0070817,76.0992703,0.1548253362,,302.324,93,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
99,20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29,,15,5,2022,15.6589741,79.47164373,0.9649838386,6.0,308.2466666,211,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,unsafe,0
100,20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14,,17,5,2022,26.77253155,92.10641749,2.407587488,,300.92,251,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
101,20th week,Kerala,Alappuzha,Dengue,7,,17,5,2022,9.5006651,76.41241429,1.823726827,,,239,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,safe,1
102,20th week,Kerala,Thiruvananthapuram,Dengue,7,,13,5,2022,8.4882267,76.947551,0.3247661756,12.0,302.87,277,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
103,20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22,,13,5,2022,11.715219,76.12690295,0.6217835649,6.0,301.55,63,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
104,20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22,,17,5,2022,15.2485413,76.8323648,0.2310053668,,312.53000000000003,144,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,unsafe,0
105,20th week,Maharashtra,Pune,Dengue,21,,16,5,2022,18.521428,73.8544541,0.008698042455,,309.265,97,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
106,20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12,,18,5,2022,25.1010477,82.62574936,0.0004174087149,4.0,313.0,64,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
107,20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13,,11,5,2022,13.3400771,77.1006208,0.1539146664,9.0,304.56,249,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,unsafe,0
108,20th week,Maharashtra,Pune,Dengue,12,,23,4,2022,18.521428,73.8544541,0.01502899002,,314.96,255,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
109,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110,,12,5,2022,25.4425965,92.29882747,1.120595492,17.0,302.0133334,264,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
110,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60,,1,5,2022,25.4425965,92.29882747,0.7205701934,,300.456,298,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
111,21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37,,27,5,2022,27.4,92.35,1.087377988,18.0,291.86,239,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,safe,1
112,21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42,,24,5,2022,11.2450558,75.7754716,2.568560169,,,89,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,safe,1
113,21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29,,23,5,2022,10.78789845,76.47408711,1.851591895,10.0,296.47,262,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,safe,1
114,21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113,,22,5,2022,23.4805919,74.91931943,2.79e-05,3.0,317.87,257,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
115,21st week,Maharashtra,Chandrapur,Malaria,13,1.0,25,5,2022,20.0967555,79.50454752,0.006072435084,,314.545,286,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
116,21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37,,23,5,2022,20.75,85.5,0.006900563323,16.0,305.02,131,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
117,21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113,,26,5,2022,10.91571,79.8375761,0.03765778924,11.0,306.88,160,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21,1.0,21,5,2022,25.3560294,82.50057725,0.03582953885,4.0,311.22400000000005,102,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,safe,1
119,21st week,Karnataka,Udupi,Dengue,92,,17,5,2022,13.3419169,74.7473232,0.8331679728,,302.55,73,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
120,21st week,Kerala,Palakkad,Dengue,18,,3,5,2022,10.78789845,76.47408711,0.7507618224,11.0,302.5066666,203,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,safe,1
